2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create index tests
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create type tests/test
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create index projectmeasures
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/projectmeasure
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/authorization
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create index rules
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create type rules/activeRule
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create type rules/ruleExtension
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2022.02.21 08:38:54 INFO  web[][o.s.s.e.IndexCreator] Create index issues
2022.02.21 08:38:55 INFO  web[][o.s.s.e.IndexCreator] Create type issues/issue
2022.02.21 08:38:55 INFO  web[][o.s.s.e.IndexCreator] Create type issues/authorization
2022.02.21 08:38:55 INFO  web[][o.s.s.e.IndexCreator] Create index users
2022.02.21 08:38:55 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2022.02.21 08:38:55 INFO  web[][o.s.s.e.IndexCreator] Create index views
2022.02.21 08:38:55 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2022.02.21 08:38:55 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AX8bbvP4eekQABGaW6aO
2022.02.21 08:38:55 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2022.02.21 08:38:55 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2022.02.21 08:38:55 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.02.21 08:38:55 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.02.21 08:38:55 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.02.21 08:38:55 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.02.21 08:38:55 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2022.02.21 08:38:56 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2022.02.21 08:38:56 INFO  web[][o.s.s.r.RegisterRules] Register rules
2022.02.21 08:39:17 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2022.02.21 08:39:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2022.02.21 08:39:19 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2022.02.21 08:39:22 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile scala/Sonar way
2022.02.21 08:39:22 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile jsp/Sonar way
2022.02.21 08:39:22 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2022.02.21 08:39:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2022.02.21 08:39:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way Recommended
2022.02.21 08:39:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2022.02.21 08:39:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2022.02.21 08:39:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ruby/Sonar way
2022.02.21 08:39:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2022.02.21 08:39:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2022.02.21 08:39:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile web/Sonar way
2022.02.21 08:39:25 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2022.02.21 08:39:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2022.02.21 08:39:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2022.02.21 08:39:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2022.02.21 08:39:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2022.02.21 08:39:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile vbnet/Sonar way
2022.02.21 08:39:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2022.02.21 08:39:26 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way recommended
2022.02.21 08:39:27 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.02.21 08:39:27 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@14db7300 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@68613dd3 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@605148e8 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@45667853 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@4514a287 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@4977ec38 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@43d9b60f [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@27f507ea [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.02.21 08:39:27 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/activeRule] ...
2022.02.21 08:39:29 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/activeRule] done | time=2003ms
2022.02.21 08:39:29 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/ruleExtension],[rules/rule] ...
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/ruleExtension],[rules/rule] done | time=5628ms
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=176ms
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] ...
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] done | time=75ms
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=74ms
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] ...
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/issue] done | time=70ms
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[issues/authorization],[projectmeasures/authorization] ...
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/authorization],[issues/authorization],[projectmeasures/authorization] done | time=91ms
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] ...
2022.02.21 08:39:35 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/projectmeasure] done | time=65ms
2022.02.21 08:39:35 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
